ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
83_Enumerate_Alternative_Full_2_DEFAULT_4448_Un-2-double-6,0,0.05
85_Enumerate_Alternative_Full_1_DEFAULT_1769_Un-2-double-6,0,0
86_Enumerate_Alternative_Full_2_DEFAULT_8467_Un-2-double-6,0,0
87_Enumerate_Alternative_Full_3_DEFAULT_14775_Un-2-double-6,0,0
88_Enumerate_Alternative_Full_1_DEFAULT_2212_Un-2-double-6,0,0
89_Enumerate_Alternative_Full_2_DEFAULT_9472_Un-2-double-6,0,0
8_Enumerate_Alternative_Full_2_DEFAULT_26796_Un-2-double-6,0,0
90_Enumerate_Alternative_Full_3_DEFAULT_1280_Un-2-double-6,0,0
91_Enumerate_Alternative_Full_1_DEFAULT_13383_Un-2-double-6,0,0
92_Enumerate_Alternative_Full_2_DEFAULT_2517_Un-2-double-6,0,0
95_Enumerate_Alternative_Full_2_DEFAULT_15928_Un-2-double-6,0,0
96_Enumerate_Alternative_Full_3_DEFAULT_18316_Un-2-double-6,0,0
97_Enumerate_Alternative_Full_1_DEFAULT_32033_Un-2-double-6,0,0
98_Enumerate_Alternative_Full_2_DEFAULT_32598_Un-2-double-6,0,0
9_Enumerate_Alternative_Full_3_DEFAULT_25434_Un-2-double-6,0,0
101_Enumerate_Alternative_Full_2_DEFAULT_7830_Un-2-double-8,0,0.05
102_Enumerate_Alternative_Full_3_DEFAULT_31417_Un-2-double-8,0,0
104_Enumerate_Alternative_Full_2_DEFAULT_22564_Un-2-double-8,0,0.01
110_Enumerate_Alternative_Full_2_DEFAULT_27416_Un-2-double-8,0,0.07
111_Enumerate_Alternative_Full_3_DEFAULT_21083_Un-2-double-8,0,0
112_Enumerate_Alternative_Full_1_DEFAULT_16567_Un-2-double-8,0,0
113_Enumerate_Alternative_Full_2_DEFAULT_70_Un-2-double-8,0,0
116_Enumerate_Alternative_Full_2_DEFAULT_25944_Un-2-double-8,0,0.01
117_Enumerate_Alternative_Full_3_DEFAULT_15838_Un-2-double-8,0,0
119_Enumerate_Alternative_Full_2_DEFAULT_31792_Un-2-double-8,0,0.03
13_Enumerate_Alternative_Full_1_DEFAULT_29690_Un-2-double-8,0,0
21_Enumerate_Alternative_Full_3_DEFAULT_717_Un-2-double-8,0,0
23_Enumerate_Alternative_Full_2_DEFAULT_29843_Un-2-double-8,0,0
24_Enumerate_Alternative_Full_3_DEFAULT_8299_Un-2-double-8,0,0
26_Enumerate_Alternative_Full_2_DEFAULT_24419_Un-2-double-8,0,0
29_Enumerate_Alternative_Full_2_DEFAULT_7260_Un-2-double-8,0,0
37_Enumerate_Alternative_Full_1_DEFAULT_3380_Un-2-double-8,0,0
42_Enumerate_Alternative_Full_3_DEFAULT_3023_Un-2-double-8,0,0
49_Enumerate_Alternative_Full_1_DEFAULT_6652_Un-2-double-8,0,0
70_Enumerate_Alternative_Full_1_DEFAULT_28975_Un-2-double-8,0,0.01
72_Enumerate_Alternative_Full_3_DEFAULT_7706_Un-2-double-8,0,0
77_Enumerate_Alternative_Full_2_DEFAULT_12399_Un-2-double-8,0,0
78_Enumerate_Alternative_Full_3_DEFAULT_5812_Un-2-double-8,0,0
83_Enumerate_Alternative_Full_2_DEFAULT_4448_Un-2-double-8,0,0.11
8_Enumerate_Alternative_Full_2_DEFAULT_26796_Un-2-double-8,0,0
92_Enumerate_Alternative_Full_2_DEFAULT_2517_Un-2-double-8,0,0
96_Enumerate_Alternative_Full_3_DEFAULT_18316_Un-2-double-8,0,0.03
97_Enumerate_Alternative_Full_1_DEFAULT_32033_Un-2-double-8,0,0.03
105_Enumerate_Alternative_Full_3_DEFAULT_7051_2-double-10,0,0.09
111_Enumerate_Alternative_Full_3_DEFAULT_21083_2-double-10,0,0.03
114_Enumerate_Alternative_Full_3_DEFAULT_22154_2-double-10,0,0.06
119_Enumerate_Alternative_Full_2_DEFAULT_31792_2-double-10,0,0.05
13_Enumerate_Alternative_Full_1_DEFAULT_29690_2-double-10,0,0.02
16_Enumerate_Alternative_Full_1_DEFAULT_26740_2-double-10,0,0
26_Enumerate_Alternative_Full_2_DEFAULT_24419_2-double-10,0,0
2_Enumerate_Alternative_Full_2_DEFAULT_4634_2-double-10,0,0
30_Enumerate_Alternative_Full_3_DEFAULT_21865_2-double-10,0,0
42_Enumerate_Alternative_Full_3_DEFAULT_3023_2-double-10,0,0.02
48_Enumerate_Alternative_Full_3_DEFAULT_29764_2-double-10,0,0.02
63_Enumerate_Alternative_Full_3_DEFAULT_14837_2-double-10,0,0.01
67_Enumerate_Alternative_Full_1_DEFAULT_17876_2-double-10,0,0
78_Enumerate_Alternative_Full_3_DEFAULT_5812_2-double-10,0,0
82_Enumerate_Alternative_Full_1_DEFAULT_26645_2-double-10,0,0.05
85_Enumerate_Alternative_Full_1_DEFAULT_1769_2-double-10,0,0.05
88_Enumerate_Alternative_Full_1_DEFAULT_2212_2-double-10,0,0.02
8_Enumerate_Alternative_Full_2_DEFAULT_26796_2-double-10,0,0.02
92_Enumerate_Alternative_Full_2_DEFAULT_2517_2-double-10,0,0
95_Enumerate_Alternative_Full_2_DEFAULT_15928_2-double-10,0,0.03
98_Enumerate_Alternative_Full_2_DEFAULT_32598_2-double-10,0,0.03
2_Enumerate_Alternative_Full_2_DEFAULT_4634_2-double-12,0,0
43_Enumerate_Alternative_Full_1_DEFAULT_14690_2-double-12,0,0
7_Enumerate_Alternative_Full_1_DEFAULT_3718_2-double-12,0,1.87
82_Enumerate_Alternative_Full_1_DEFAULT_26645_2-double-12,0,0.6
100_Enumerate_Alternative_Full_1_DEFAULT_30414_2-double-6,0,0
101_Enumerate_Alternative_Full_2_DEFAULT_7830_2-double-6,0,0
102_Enumerate_Alternative_Full_3_DEFAULT_31417_2-double-6,0,0
103_Enumerate_Alternative_Full_1_DEFAULT_31869_2-double-6,0,0
104_Enumerate_Alternative_Full_2_DEFAULT_22564_2-double-6,0,0
105_Enumerate_Alternative_Full_3_DEFAULT_7051_2-double-6,0,0
106_Enumerate_Alternative_Full_1_DEFAULT_8543_2-double-6,0,0
107_Enumerate_Alternative_Full_2_DEFAULT_12158_2-double-6,0,0
109_Enumerate_Alternative_Full_1_DEFAULT_16687_2-double-6,0,0
10_Enumerate_Alternative_Full_1_DEFAULT_8598_2-double-6,0,0
110_Enumerate_Alternative_Full_2_DEFAULT_27416_2-double-6,0,0
112_Enumerate_Alternative_Full_1_DEFAULT_16567_2-double-6,0,0
113_Enumerate_Alternative_Full_2_DEFAULT_70_2-double-6,0,0
114_Enumerate_Alternative_Full_3_DEFAULT_22154_2-double-6,0,0
115_Enumerate_Alternative_Full_1_DEFAULT_16699_2-double-6,0,0
116_Enumerate_Alternative_Full_2_DEFAULT_25944_2-double-6,0,0
117_Enumerate_Alternative_Full_3_DEFAULT_15838_2-double-6,0,0
118_Enumerate_Alternative_Full_1_DEFAULT_2753_2-double-6,0,0.01
119_Enumerate_Alternative_Full_2_DEFAULT_31792_2-double-6,0,0
11_Enumerate_Alternative_Full_2_DEFAULT_21172_2-double-6,0,0
13_Enumerate_Alternative_Full_1_DEFAULT_29690_2-double-6,0,0
15_Enumerate_Alternative_Full_3_DEFAULT_1743_2-double-6,0,0
16_Enumerate_Alternative_Full_1_DEFAULT_26740_2-double-6,0,0
17_Enumerate_Alternative_Full_2_DEFAULT_22856_2-double-6,0,0
18_Enumerate_Alternative_Full_3_DEFAULT_25148_2-double-6,0,0
19_Enumerate_Alternative_Full_1_DEFAULT_6751_2-double-6,0,0
1_Enumerate_Alternative_Full_1_DEFAULT_31681_2-double-6,0,0
21_Enumerate_Alternative_Full_3_DEFAULT_717_2-double-6,0,0
22_Enumerate_Alternative_Full_1_DEFAULT_16849_2-double-6,0,0
23_Enumerate_Alternative_Full_2_DEFAULT_29843_2-double-6,0,0
24_Enumerate_Alternative_Full_3_DEFAULT_8299_2-double-6,0,0
25_Enumerate_Alternative_Full_1_DEFAULT_6709_2-double-6,0,0
26_Enumerate_Alternative_Full_2_DEFAULT_24419_2-double-6,0,0
28_Enumerate_Alternative_Full_1_DEFAULT_11547_2-double-6,0,0
29_Enumerate_Alternative_Full_2_DEFAULT_7260_2-double-6,0,0
2_Enumerate_Alternative_Full_2_DEFAULT_4634_2-double-6,0,0
30_Enumerate_Alternative_Full_3_DEFAULT_21865_2-double-6,0,0
31_Enumerate_Alternative_Full_1_DEFAULT_16017_2-double-6,0,0.02
32_Enumerate_Alternative_Full_2_DEFAULT_29417_2-double-6,0,0
34_Enumerate_Alternative_Full_1_DEFAULT_10456_2-double-6,0,0
35_Enumerate_Alternative_Full_2_DEFAULT_25977_2-double-6,0,0
36_Enumerate_Alternative_Full_3_DEFAULT_20418_2-double-6,0,0
37_Enumerate_Alternative_Full_1_DEFAULT_3380_2-double-6,0,0
38_Enumerate_Alternative_Full_2_DEFAULT_4490_2-double-6,0,0
3_Enumerate_Alternative_Full_3_DEFAULT_16837_2-double-6,0,0
40_Enumerate_Alternative_Full_1_DEFAULT_14157_2-double-6,0,0
41_Enumerate_Alternative_Full_2_DEFAULT_69_2-double-6,0,0
42_Enumerate_Alternative_Full_3_DEFAULT_3023_2-double-6,0,0
43_Enumerate_Alternative_Full_1_DEFAULT_14690_2-double-6,0,0
44_Enumerate_Alternative_Full_2_DEFAULT_13524_2-double-6,0,0
46_Enumerate_Alternative_Full_1_DEFAULT_10222_2-double-6,0,0
47_Enumerate_Alternative_Full_2_DEFAULT_23256_2-double-6,0,0
49_Enumerate_Alternative_Full_1_DEFAULT_6652_2-double-6,0,0
4_Enumerate_Alternative_Full_1_DEFAULT_15262_2-double-6,0,0
52_Enumerate_Alternative_Full_1_DEFAULT_759_2-double-6,0,0
54_Enumerate_Alternative_Full_3_DEFAULT_10002_2-double-6,0,0
55_Enumerate_Alternative_Full_1_DEFAULT_2905_2-double-6,0,0
57_Enumerate_Alternative_Full_3_DEFAULT_4997_2-double-6,0,0.02
59_Enumerate_Alternative_Full_2_DEFAULT_16281_2-double-6,0,0
60_Enumerate_Alternative_Full_3_DEFAULT_16345_2-double-6,0,0
61_Enumerate_Alternative_Full_1_DEFAULT_14189_2-double-6,0,0
63_Enumerate_Alternative_Full_3_DEFAULT_14837_2-double-6,0,0
64_Enumerate_Alternative_Full_1_DEFAULT_24318_2-double-6,0,0
66_Enumerate_Alternative_Full_3_DEFAULT_23583_2-double-6,0,0
67_Enumerate_Alternative_Full_1_DEFAULT_17876_2-double-6,0,0
68_Enumerate_Alternative_Full_2_DEFAULT_19383_2-double-6,0,0
69_Enumerate_Alternative_Full_3_DEFAULT_7579_2-double-6,0,0
70_Enumerate_Alternative_Full_1_DEFAULT_28975_2-double-6,0,0
72_Enumerate_Alternative_Full_3_DEFAULT_7706_2-double-6,0,0
73_Enumerate_Alternative_Full_1_DEFAULT_5107_2-double-6,0,0
74_Enumerate_Alternative_Full_2_DEFAULT_10838_2-double-6,0,0
77_Enumerate_Alternative_Full_2_DEFAULT_12399_2-double-6,0,0
